,EosinY-1gL,NaOH-1M,PCAT_Gee-pt/g-c3n4,PVP-1wt,RhodamineB-1gL,SDS-1wt,TEOA-0-10VV,Target
0,0.0,0.0,4.995,0.25,0.0,0.5,1.25,28.88565017194836
1,0.75,0.0,5.045,0.5,0.0,1.5,0.75,18.663930977505224
2,0.25,0.0,4.975,1.0,0.0,0.0,2.25,49.91212226487082
3,0.0,0.75,5.01,2.0,0.0,0.75,1.0,24.539902203719905
4,0.0,0.5,4.99,1.25,0.0,0.75,0.75,16.89974314197479
5,1.5,2.0,5.015,0.0,0.0,0.0,0.5,20.36816618676306
6,0.25,0.75,5.01,0.75,0.0,1.5,0.25,16.471792798025863
7,1.25,0.5,4.975,0.25,0.0,0.0,0.5,19.990237610017772
8,0.0,0.5,4.99,0.75,0.0,0.0,2.0,12.361058890755615
9,0.25,1.0,5.01,1.5,0.0,0.0,0.75,22.856103415033775
10,1.75,0.5,4.98,0.0,0.0,0.25,0.25,27.967487347535545
11,0.5,1.25,5.01,0.5,0.0,0.25,0.5,17.766949777223793
12,0.5,0.0,5.0,2.0,0.0,0.75,0.75,19.122130895527597
13,0.0,0.0,5.01,0.25,0.0,2.0,1.0,13.401907395961345
14,1.0,0.0,4.98,0.0,0.0,0.0,0.5,15.005437878209548
15,1.0,0.0,5.01,0.0,0.0,0.0,0.5,15.059242862579666
16,0.0,0.25,5.0,2.0,0.0,0.0,1.5,23.012592496487894
17,0.5,0.25,5.0,1.75,0.0,0.0,1.25,21.065146289414237
18,0.0,0.5,5.02,2.5,0.0,0.25,0.25,5.713639263043072
19,0.0,0.25,4.985,0.5,0.0,0.0,2.0,13.606582061458049
20,0.25,0.5,5.02,0.5,0.0,1.5,0.5,19.036311850738336
21,0.0,1.5,5.015,0.0,0.0,0.0,0.25,0.8726562412564077
22,1.0,0.25,5.005,0.5,0.0,0.5,1.0,33.4691227373892
23,2.0,0.0,4.995,0.0,0.0,1.5,0.25,37.46080068721953
24,0.0,0.75,4.975,1.25,0.0,0.0,0.75,4.501384283700581
25,0.0,1.0,4.98,0.25,0.0,0.25,1.0,8.57198085353436
26,0.0,0.25,5.015,0.75,0.0,0.25,0.75,11.914003513708273
27,0.0,1.0,4.985,1.0,0.0,0.0,2.25,25.2080361798148
28,0.0,2.5,5.01,0.5,0.0,0.5,0.25,3.9438627775015025
29,0.5,1.5,5.005,0.0,0.0,0.75,0.25,12.282570208017532
30,1.0,0.0,4.995,0.0,0.0,0.0,0.5,14.631474218812722
31,1.0,0.0,4.99,0.0,0.0,0.0,0.5,13.504965247598445
32,0.25,0.5,5.01,1.5,0.0,1.25,0.75,24.328446775717666
33,0.0,1.75,5.005,0.5,0.0,1.5,0.5,13.955404016556688
34,1.75,0.5,5.0,0.0,0.0,0.75,0.5,26.089459049267994
35,0.5,0.0,4.99,0.25,0.0,2.0,0.25,22.33276356676417
36,0.5,1.5,5.0,0.25,0.0,0.25,0.5,15.058166774947576
37,0.75,0.25,4.99,1.25,0.0,0.0,1.25,27.748780778992025
38,0.25,0.0,5.01,0.0,0.0,0.5,0.75,38.469751193254254
39,0.5,1.75,4.985,0.0,0.0,0.0,1.25,25.125440825536913
40,0.5,1.25,5.005,0.0,0.0,1.5,0.25,12.679614343520626
41,1.75,1.0,5.005,0.25,0.0,0.75,0.25,16.65516091356939
42,0.0,0.0,5.04,0.0,0.0,0.0,4.75,16.838801970562166
43,2.25,0.0,5.0,0.0,0.0,0.25,2.0,35.33521848130285
44,1.25,0.0,4.99,2.0,0.0,0.5,0.25,6.375974382079468
45,0.75,0.25,4.995,0.0,0.0,0.0,2.75,32.53950333508902
46,1.0,0.0,5.005,0.0,0.0,0.0,0.5,8.35291892466817
47,1.0,0.0,4.995,0.0,0.0,0.0,0.5,16.70282538966431
48,0.25,0.0,4.97,0.75,0.0,0.0,2.0,6.304882285281465
49,2.0,0.0,5.015,0.0,0.0,0.75,0.75,49.2349252050261
50,0.0,0.75,4.99,1.25,0.0,0.25,2.0,28.882910841423953
51,0.0,0.0,4.995,1.5,0.0,1.0,1.75,11.955271861481574
52,0.25,0.0,5.0,0.0,0.0,1.25,0.25,6.275724603660929
53,0.25,0.25,5.01,0.25,0.0,0.5,0.25,17.20834060197491
54,0.5,0.0,5.005,0.5,0.0,0.75,1.5,11.335784334454528
55,0.5,0.25,4.98,0.0,0.0,1.0,2.0,28.67207156425411
56,0.0,0.75,5.005,1.25,0.0,0.25,2.0,29.18661045697049
57,0.25,0.0,5.005,1.0,0.0,0.5,0.75,6.761260796804869
58,0.0,0.0,5.025,0.25,0.0,1.0,1.5,12.09679875446708
59,1.0,0.25,5.0,1.0,0.0,0.0,0.5,18.04355825152975
60,0.25,0.0,5.005,1.25,0.0,0.5,1.5,7.794313739315096
61,0.25,0.25,4.975,0.5,0.0,1.25,0.5,20.274118004148182
62,0.25,0.0,5.005,0.75,0.0,0.75,1.5,31.712783271522376
63,0.5,0.25,5.005,0.5,0.0,0.75,2.25,27.90840237182607
64,0.0,0.0,5.005,0.0,0.0,0.0,0.5,15.413503354892978
65,0.0,0.0,4.985,0.0,0.0,0.0,0.5,17.097401719991215
66,0.75,0.0,5.01,0.0,0.0,0.25,2.5,16.969011270016612
67,0.5,0.0,5.005,0.0,0.0,0.0,3.75,12.958081233486592
68,0.5,0.0,5.005,0.75,0.0,0.75,1.5,11.556880622664774
69,0.5,0.0,5.005,0.0,0.0,0.25,2.75,14.476322134414236
70,0.25,0.0,5.0,0.25,0.0,0.0,0.25,3.662879374329228
71,0.0,0.0,4.99,0.75,0.0,1.0,1.75,12.707953248208582
72,2.0,0.0,4.985,0.25,0.0,0.25,1.0,33.474422836825966
73,0.5,0.0,5.03,0.75,0.0,0.0,2.75,36.789168153619634
74,0.25,0.0,4.99,0.25,0.0,0.5,3.0,11.128913247082044
75,0.75,0.0,5.005,0.5,0.0,0.5,1.0,12.187383622201775
76,0.5,0.0,4.995,0.5,0.0,1.5,1.25,13.000061701385228
77,0.25,0.0,4.99,0.25,0.0,0.5,2.25,10.34397351515005
78,0.5,0.0,4.99,0.0,0.0,0.0,1.75,10.036445975961046
79,0.0,0.0,4.975,0.5,0.0,1.0,2.5,14.706156902525018
80,1.0,0.25,5.015,0.25,0.0,0.0,1.5,24.819807870348814
81,2.0,0.0,5.03,0.0,0.0,0.75,1.0,43.29643722587353
82,0.0,0.0,5.0,0.0,0.0,0.0,0.5,15.526423933912193
83,0.0,0.0,4.99,0.0,0.0,0.0,0.5,15.113162878166793
84,0.0,0.75,4.995,1.25,0.0,0.25,1.75,27.346797279845905
85,0.5,0.0,5.015,1.0,0.0,0.25,0.5,5.618168564253707
86,0.0,0.0,4.995,0.25,0.0,1.0,2.25,13.75004297955293
87,1.75,0.0,5.015,0.0,0.0,0.0,0.75,37.17095289982501
88,0.25,0.0,5.0,0.25,0.0,0.75,3.25,12.51506758975783
89,0.75,0.0,5.02,0.0,0.0,0.25,0.75,16.244403343223393
90,0.0,0.75,4.97,1.25,0.0,0.25,1.75,21.586590537273615
91,0.25,0.25,4.995,1.25,0.0,0.5,2.0,24.228958777564937
92,0.25,0.0,4.975,0.5,0.0,0.0,2.25,8.037426295992372
93,0.75,1.75,5.03,0.0,0.0,0.0,1.25,31.17502709875796
94,0.0,0.0,4.995,0.0,0.0,0.0,0.5,15.597608370863718
95,0.0,0.0,5.005,0.0,0.0,0.0,0.5,13.801434394472059
